user_id,current_balance,timestamp
USER_0000,348,2026-04-29 15:17:32.376473
USER_0000,106,2026-06-05 15:17:32.376503
USER_0000,188,2026-04-09 15:17:32.376517
USER_0000,102,2026-05-30 15:17:32.376528
USER_0000,214,2026-03-29 15:17:32.376539
USER_0000,458,2026-04-06 15:17:32.376556
USER_0000,372,2026-03-24 15:17:32.376572
USER_0001,130,2026-05-27 15:17:32.376601
USER_0001,308,2026-05-29 15:17:32.376616
USER_0001,343,2026-06-18 15:17:32.376630
USER_0001,293,2026-05-21 15:17:32.376645
USER_0002,443,2026-04-17 15:17:32.376667
USER_0002,160,2026-05-30 15:17:32.376683
USER_0003,252,2026-05-29 15:17:32.376707
USER_0003,48,2026-03-23 15:17:32.376717
USER_0003,169,2026-04-22 15:17:32.376726
USER_0003,463,2026-04-21 15:17:32.376735
USER_0003,189,2026-06-05 15:17:32.376745
USER_0003,174,2026-04-19 15:17:32.376754
USER_0003,50,2026-04-19 15:17:32.376769
USER_0003,243,2026-04-26 15:17:32.376779
USER_0003,130,2026-04-17 15:17:32.376788
USER_0003,134,2026-04-30 15:17:32.376797
USER_0004,166,2026-04-08 15:17:32.376811
USER_0004,387,2026-06-02 15:17:32.376819
USER_0004,315,2026-03-23 15:17:32.376829
USER_0004,241,2026-06-06 15:17:32.376838
USER_0004,345,2026-06-11 15:17:32.376848
USER_0005,339,2026-06-18 15:17:32.376861
USER_0005,454,2026-04-21 15:17:32.376870
USER_0005,263,2026-05-07 15:17:32.376879
USER_0005,34,2026-05-04 15:17:32.376888
USER_0005,80,2026-04-03 15:17:32.376901
USER_0006,359,2026-05-01 15:17:32.376926
USER_0006,1,2026-06-16 15:17:32.376944
USER_0006,53,2026-06-14 15:17:32.376960
USER_0006,309,2026-06-16 15:17:32.376976
USER_0007,43,2026-03-22 15:17:32.376999
USER_0007,201,2026-05-17 15:17:32.377016
USER_0008,350,2026-06-06 15:17:32.377040
USER_0008,270,2026-05-03 15:17:32.377057
USER_0008,461,2026-04-09 15:17:32.377075
USER_0008,251,2026-03-25 15:17:32.377092
USER_0009,295,2026-04-19 15:17:32.377116
USER_0009,207,2026-03-27 15:17:32.377132
USER_0009,366,2026-03-30 15:17:32.377149
USER_0009,279,2026-04-28 15:17:32.377171
USER_0009,216,2026-05-25 15:17:32.377188
USER_0009,379,2026-04-21 15:17:32.377205
USER_0009,156,2026-05-10 15:17:32.377222
USER_0009,300,2026-06-05 15:17:32.377239
USER_0009,344,2026-04-16 15:17:32.377256
USER_0010,343,2026-06-11 15:17:32.377283
USER_0010,491,2026-06-19 15:17:32.377303
USER_0010,471,2026-06-12 15:17:32.377321
USER_0010,138,2026-04-18 15:17:32.377343
USER_0010,391,2026-03-31 15:17:32.377371
USER_0010,418,2026-05-16 15:17:32.377387
USER_0010,378,2026-05-18 15:17:32.377403
USER_0011,27,2026-05-10 15:17:32.377425
USER_0011,200,2026-06-13 15:17:32.377442
USER_0011,267,2026-04-09 15:17:32.377459
USER_0011,32,2026-05-17 15:17:32.377476
USER_0011,406,2026-05-03 15:17:32.377496
USER_0012,98,2026-05-14 15:17:32.377521
USER_0012,359,2026-05-07 15:17:32.377541
USER_0012,474,2026-03-26 15:17:32.377558
USER_0012,448,2026-05-16 15:17:32.377576
USER_0012,461,2026-05-04 15:17:32.377593
USER_0012,256,2026-06-17 15:17:32.377617
USER_0012,217,2026-06-15 15:17:32.377634
USER_0012,358,2026-06-06 15:17:32.377652
USER_0013,14,2026-04-02 15:17:32.377677
USER_0013,41,2026-03-22 15:17:32.377693
USER_0013,178,2026-04-04 15:17:32.377709
USER_0013,351,2026-04-18 15:17:32.377725
USER_0013,95,2026-04-29 15:17:32.377742
USER_0013,221,2026-06-16 15:17:32.377754
USER_0013,230,2026-05-28 15:17:32.377763
USER_0013,170,2026-06-05 15:17:32.377772
USER_0013,35,2026-05-22 15:17:32.377785
USER_0014,242,2026-04-22 15:17:32.377807
USER_0014,283,2026-03-26 15:17:32.377817
USER_0014,169,2026-04-15 15:17:32.377826
USER_0014,61,2026-05-06 15:17:32.377835
USER_0014,133,2026-04-24 15:17:32.377844
USER_0014,27,2026-05-23 15:17:32.377853
USER_0014,339,2026-05-07 15:17:32.377862
USER_0015,230,2026-03-23 15:17:32.377875
USER_0015,224,2026-04-19 15:17:32.377884
USER_0015,376,2026-06-19 15:17:32.377893
USER_0015,445,2026-05-24 15:17:32.377903
USER_0015,232,2026-04-04 15:17:32.377912
USER_0015,358,2026-06-17 15:17:32.377922
USER_0015,455,2026-04-11 15:17:32.377931
USER_0015,136,2026-05-24 15:17:32.377940
USER_0015,164,2026-04-19 15:17:32.377949
USER_0015,233,2026-04-30 15:17:32.377958
USER_0016,314,2026-04-02 15:17:32.377971
USER_0016,95,2026-05-19 15:17:32.377980
USER_0016,232,2026-03-24 15:17:32.377989
USER_0016,112,2026-04-29 15:17:32.377998
USER_0016,496,2026-04-19 15:17:32.378010
USER_0016,51,2026-04-23 15:17:32.378019
USER_0016,294,2026-06-08 15:17:32.378028
